An,,F,Vietnamese
Arnfjörð,,N,Icelandic
Bá,,M,Vietnamese
Ben,,N,Icelandic
Công,,M,Vietnamese
Diệu,,F,Vietnamese
Đình,,M,Vietnamese
Đức,,M,Vietnamese
Eyfjörð,,N,Icelandic
Fossberg,,N,Icelandic
Hafnfjörð,,N,Icelandic
Hạnh,,N,Vietnamese
Hlíðkvist,,N,Icelandic
Hồng,,F,Vietnamese
Hữu,,M,Vietnamese
Línberg,,N,Icelandic
Mạnh,,M,Vietnamese
Quang,,M,Vietnamese
Sædal,,N,Icelandic
Steinberg,,N,Icelandic
Svarfdal,,N,Icelandic
Thành,,M,Vietnamese
Thị,,F,Vietnamese
Văn,,M,Vietnamese
Vattnes,,N,Icelandic
Vídalín,,N,Icelandic
