Abashidze,აბაშიძე,N,,Georgian
Abe,阿部,N,,Japanese
Āboliņa,,F,Āboliņš,Latvian
Āboliņš,,M,Āboliņa,Latvian
Abramov,Абрамов,M,Abramova,Russian
Abramova,Абрамова,F,Abramov,Russian
Abuladze,აბულაძე,N,,Georgian
Adamczyk,,N,,Polish
Adams,,N,,English
Aksyonov,Аксёнов,M,Aksyonova,Russian
Aksyonova,Аксёнова,F,Aksyonov,Russian
Alekseyev,Алексеев,M,Alekseyeva,Russian
Alekseyeva,Алексеева,F,Alekseyev,Russian
Alexander,,N,,English
Alievi,ალიევი,N,,Georgian
Allen,,N,,English
Alonso,,N,,Spanish
Álvarez,,N,,Spanish
Andersen,,N,,Icelandic
Anderson,,N,,English
Andreyev,Андреев,M,Andreyeva,Russian
Andreyeva,Андреева,F,Andreyev,Russian
Aṙak’elyan,Առաքելյան,N,,Armenian
Artsruni,Արծրունի,N,,Armenian
Aslanyan,Ասլանյան,N,,Armenian
Avdeyev,Авдеев,M,Avdeyeva,Russian
Avdeyeva,Авдеева,F,Avdeyev,Russian
Avetisyan,Ավետիսյան,N,,Armenian
Bagratuni,Բագրատունի,N,,Armenian
Bairamovi,ბაირამოვი,N,,Georgian
Baker,,N,,English
Balode,,F,Balodis,Latvian
Balodis,,M,Balode,Latvian
Balogh,,N,,Hungarian
Baltiņa,,F,Baltiņš,Latvian
Baltiņš,,M,Baltiņa,Latvian
Baran,,N,,Polish
Baranov,Баранов,M,Baranova,Russian
Baranova,Баранова,F,Baranov,Russian
Belov,Белов,M,Belova,Russian
Belova,Белова,F,Belov,Russian
Belyaev,Беляев,M,Belyaeva,Russian
Belyaeva,Беляева,F,Belyaev,Russian
Bergmann,,N,,Icelandic
Beridze,ბერიძე,N,,Georgian
Bērziņa,,F,Bērziņš,Latvian
Bērziņš,,M,Bērziņa,Latvian
Blanco,,N,,Spanish
Blöndal,,N,,Icelandic
Bodnar,Боднар,N,,Ukrainian
Bogdanov,Богданов,M,Bogdanova,Russian
Bogdanova,Богданова,F,Bogdanov,Russian
Bolkvadze,ბოლქვაძე,N,,Georgian
Bondar,Бондар,N,,Ukrainian
Bondarenko,Бондаренко,N,,Ukrainian
Borisov,Борисов,M,Borisova,Russian
Borisova,Борисова,F,Borisov,Russian
Boyko,Бойко,N,,Ukrainian
Briem,,N,,Icelandic
Brown,,N,,English
Bùi,,N,,Vietnamese
Campbell,,N,,English
Carter,,N,,English
Castro,,N,,Spanish
Chén,陈,N,,Chinese
Clark,,N,,English
Clarke,,N,,English
Cooper,,N,,English
Cox,,N,,English
Dąbrowska,,F,Dąbrowski,Polish
Dąbrowski,,M,Dąbrowska,Polish
Đặng,,N,,Vietnamese
Darbinyan,Դարբինյան,N,,Armenian
Davies,,N,,English
Davis,,N,,English
Delgado,,N,,Spanish
Díaz,,N,,Spanish
Đỗ,,N,,Vietnamese
Domínguez,,N,,Spanish
Dudek,,N,,Polish
Dương,,N,,Vietnamese
Eglīte,,F,Eglītis,Latvian
Eglītis,,M,Eglīte,Latvian
Evans,,N,,English
Farkas,,N,,Hungarian
Fekete,,N,,Hungarian
Fernández,,N,,Spanish
Fjeldsted,,N,,Icelandic
Fyodorov,Фёдоров,M,Fyodorova,Russian
Fyodorova,Фёдорова,F,Fyodorov,Russian
Gāo,高,N,,Chinese
García,,N,,Spanish
Gasparyan,Գասպարյան,N,,Armenian
Gelashvili,გელაშვილი,N,,Georgian
Gerasimov,Герасимов,M,Gerasimova,Russian
Gerasimova,Герасимова,F,Gerasimov,Russian
Ghazaryan,Ղազարյան,N,,Armenian
Gil,,N,,Spanish
Giorgadze,გიორგაძე,N,,Georgian
Gogoladze,გოგოლაძე,N,,Georgian
Golubov,Голубев,M,Golubova,Russian
Golubova,Голубева,F,Golubov,Russian
Gómez,,N,,Spanish
González,,N,,Spanish
Górska,,F,Górski,Polish
Górski,,M,Górska,Polish
Gotō,後藤,N,,Japanese
Grabowska,,F,Grabowski,Polish
Grabowski,,M,Grabowska,Polish
Green,,N,,English
Grigoryan,Գրիգորյան,N,,Armenian
Grigoryev,Григорьев,M,Grigoryeva,Russian
Grigoryeva,Григорьева,F,Grigoryev,Russian
Guō,郭,N,,Chinese
