Abramivna,Абрамівна,Абрам,F,Ukrainian
Abramovich,Абрамович,Абрам,M,Russian
Abramovna,Абрамовна,Абрам,F,Russian
Abramovych,Абрамович,Абрам,M,Ukrainian
Aleksandrovich,Александрович,Александр,M,Russian
Aleksandrovna,Александровна,Александр,F,Russian
Alekseyevich,Алексеевич,Алексей,M,Russian
Alekseyevna,Алексеевна,Алексей,F,Russian
Anatoliyevich,Анатолиевич,Анатолий,M,Russian
Anatoliyevna,Анатолиевна,Анатолий,F,Russian
Anatoliyivna,Анатоліївна,Анатолій,F,Ukrainian
Anatoliyovych,Анатолійович,Анатолій,M,Ukrainian
Anatolyevich,Анатольевич,Анатолий,M,Russian
Anatolyevna,Анатольевна,Анатолий,F,Russian
Andreich,Андреич,Андрей,M,Russian
Andrevna,Андревна,Андрей,F,Russian
Andreyevich,Андреевич,Андрей,M,Russian
Andreyevna,Андреевна,Андрей,F,Russian
Andriyivna,Андріївна,Андрій,F,Ukrainian
Andriyovych,Андрійович,Андрій,M,Ukrainian
Árnadóttir,,Árni,F,Icelandic
Arnarsdóttir,,Arnar,F,Icelandic
Arnarsson,,Arnar,M,Icelandic
Árnason,,Árni,M,Icelandic
Ásdísardóttir,,Ásdís,F,Icelandic
Ásdísarson,,Ásdís,M,Icelandic
Ástudóttir,,Ásta,F,Icelandic
Ástuson,,Ásta,M,Icelandic
Auðardóttir,,Auður,F,Icelandic
Auðarson,,Auður,M,Icelandic
Berglindardóttir,,Berglind,F,Icelandic
Berglindarson,,Berglind,M,Icelandic
Birgisdóttir,,Birgir,F,Icelandic
Birgisson,,Birgir,M,Icelandic
Bjarnadóttir,,Bjarni,F,Icelandic
Bjarnason,,Bjarni,M,Icelandic
Björnsdóttir,,Björn,F,Icelandic
Björnsson,,Björn,M,Icelandic
Borisovich,Борисович,Борис,M,Russian
Borisovna,Борисовна,Борис,F,Russian
Borysivna,Борисівна,Борис,F,Ukrainian
Borysovych,Борисович,Борис,M,Ukrainian
Bryndísardóttir,,Bryndís,F,Icelandic
Bryndísarson,,Bryndís,M,Icelandic
Daníelsdóttir,,Daníel,F,Icelandic
Daníelsson,,Daníel,M,Icelandic
Davíðsdóttir,,Davíð,F,Icelandic
Davíðsson,,Davíð,M,Icelandic
Dmitriyevich,Дмитриевич,Дмитрий,M,Russian
Dmitriyevna,Дмитриевна,Дмитрий,F,Russian
Dmytrivna,Дмитрівна,Дмитро,F,Ukrainian
Dmytrovych,Дмитрович,Дмитро,M,Ukrainian
Einarsdóttir,,Einar,F,Icelandic
Einarsson,,Einar,M,Icelandic
Elínardóttir,,Elín,F,Icelandic
Elínarson,,Elín,M,Icelandic
Elísabetardóttir,,Elísabet,F,Icelandic
Elísabetarson,,Elísabet,M,Icelandic
Erludóttir,,Erla,F,Icelandic
Erluson,,Erla,M,Icelandic
Evudóttir,,Eva,F,Icelandic
Evuson,,Eva,M,Icelandic
